UID            PID  PPID C STIME TTY          TIME CMD
root             1     0 0 15:39:44 ?     00:00:01 init second_stage
root             2     0 0 15:39:44 ?     00:00:00 [kthreadd]
root             3     2 0 15:39:44 ?     00:00:00 [rcu_gp]
root             5     2 0 15:39:44 ?     00:00:00 [kworker/0:0H]
root             6     2 0 15:39:44 ?     00:00:00 [kworker/u16:0]
root             7     2 0 15:39:44 ?     00:00:00 [mm_percpu_wq]
root             8     2 0 15:39:44 ?     00:00:03 [ksoftirqd/0]
root             9     2 0 15:39:44 ?     00:00:49 [rcu_preempt]
root            10     2 0 15:39:44 ?     00:00:06 [rcu_sched]
root            11     2 0 15:39:44 ?     00:00:00 [rcu_bh]
root            12     2 0 15:39:44 ?     00:00:22 [rcuop/0]
root            13     2 0 15:39:44 ?     00:00:00 [rcuos/0]
root            14     2 0 15:39:44 ?     00:00:00 [rcuob/0]
root            15     2 0 15:39:44 ?     00:00:00 [migration/0]
root            16     2 0 15:39:44 ?     00:00:00 [cpuhp/0]
root            17     2 0 15:39:44 ?     00:00:00 [cpuhp/1]
root            18     2 0 15:39:44 ?     00:00:00 [migration/1]
root            19     2 0 15:39:44 ?     00:00:03 [ksoftirqd/1]
root            21     2 0 15:39:44 ?     00:00:00 [kworker/1:0H]
root            22     2 0 15:39:44 ?     00:00:05 [rcuop/1]
root            23     2 0 15:39:44 ?     00:00:00 [rcuos/1]
root            24     2 0 15:39:44 ?     00:00:00 [rcuob/1]
root            25     2 0 15:39:44 ?     00:00:00 [cpuhp/2]
root            26     2 0 15:39:44 ?     00:00:00 [migration/2]
root            27     2 0 15:39:44 ?     00:00:13 [ksoftirqd/2]
root            29     2 0 15:39:44 ?     00:00:00 [kworker/2:0H]
root            30     2 0 15:39:44 ?     00:00:23 [rcuop/2]
root            31     2 0 15:39:44 ?     00:00:00 [rcuos/2]
root            32     2 0 15:39:44 ?     00:00:00 [rcuob/2]
root            33     2 0 15:39:44 ?     00:00:00 [cpuhp/3]
root            34     2 0 15:39:44 ?     00:00:00 [migration/3]
root            35     2 0 15:39:44 ?     00:00:10 [ksoftirqd/3]
root            37     2 0 15:39:44 ?     00:00:00 [kworker/3:0H]
root            38     2 0 15:39:44 ?     00:00:06 [rcuop/3]
root            39     2 0 15:39:44 ?     00:00:00 [rcuos/3]
root            40     2 0 15:39:44 ?     00:00:00 [rcuob/3]
root            41     2 0 15:39:44 ?     00:00:00 [cpuhp/4]
root            42     2 0 15:39:44 ?     00:00:00 [migration/4]
root            43     2 0 15:39:44 ?     00:00:00 [ksoftirqd/4]
root            45     2 0 15:39:44 ?     00:00:00 [kworker/4:0H]
root            46     2 0 15:39:44 ?     00:00:15 [rcuop/4]
root            47     2 0 15:39:44 ?     00:00:03 [rcuos/4]
root            48     2 0 15:39:44 ?     00:00:00 [rcuob/4]
root            49     2 0 15:39:44 ?     00:00:00 [cpuhp/5]
root            50     2 0 15:39:44 ?     00:00:00 [migration/5]
root            51     2 0 15:39:44 ?     00:00:00 [ksoftirqd/5]
root            53     2 0 15:39:44 ?     00:00:00 [kworker/5:0H]
root            54     2 0 15:39:44 ?     00:00:06 [rcuop/5]
root            55     2 0 15:39:44 ?     00:00:00 [rcuos/5]
root            56     2 0 15:39:44 ?     00:00:00 [rcuob/5]
root            57     2 0 15:39:44 ?     00:00:00 [cpuhp/6]
root            58     2 0 15:39:44 ?     00:00:00 [migration/6]
root            59     2 0 15:39:44 ?     00:00:00 [ksoftirqd/6]
root            61     2 0 15:39:44 ?     00:00:00 [kworker/6:0H]
root            62     2 0 15:39:44 ?     00:00:14 [rcuop/6]
root            63     2 0 15:39:44 ?     00:00:04 [rcuos/6]
root            64     2 0 15:39:44 ?     00:00:00 [rcuob/6]
root            65     2 0 15:39:44 ?     00:00:00 [cpuhp/7]
root            66     2 0 15:39:44 ?     00:00:00 [migration/7]
root            67     2 0 15:39:44 ?     00:00:00 [ksoftirqd/7]
root            69     2 0 15:39:44 ?     00:00:00 [kworker/7:0H]
root            70     2 0 15:39:44 ?     00:00:13 [rcuop/7]
root            71     2 0 15:39:44 ?     00:00:04 [rcuos/7]
root            72     2 0 15:39:44 ?     00:00:00 [rcuob/7]
root            73     2 0 15:39:44 ?     00:00:00 [netns]
root            74     2 0 15:39:44 ?     00:00:00 [ksuspend_mon]
root            76     2 0 15:39:44 ?     00:00:46 [kworker/u17:0]
root            78     2 0 15:39:44 ?     00:00:00 [ipa_usb_wq]
root            80     2 0 15:39:44 ?     00:00:00 [msm_watchdog]
root            81     2 0 15:39:44 ?     00:00:00 [spi_wdsp]
root            82     2 0 15:39:44 ?     00:00:00 [qmp_aop]
root            83     2 0 15:39:44 ?     00:00:00 [qmp_npu_qmp_low]
root            84     2 0 15:39:44 ?     00:00:00 [qmp_npu_qmp_hig]
root            90     2 0 15:39:44 ?     00:00:00 [oom_reaper]
root            91     2 0 15:39:44 ?     00:00:00 [writeback]
root            92     2 0 15:39:44 ?     00:00:04 [kcompactd0]
root            93     2 0 15:39:44 ?     00:00:00 [crypto]
root            94     2 0 15:39:44 ?     00:00:00 [kblockd]
root            95     2 0 15:39:44 ?     00:00:00 [irq/407-arm-smm]
root            96     2 0 15:39:44 ?     00:00:00 [irq/511-arm-smm]
root            97     2 0 15:39:44 ?     00:00:00 [irq/116-tsens-u]
root            98     2 0 15:39:44 ?     00:00:00 [irq/117-tsens-c]
root            99     2 0 15:39:44 ?     00:00:00 [irq/118-tsens-u]
root           100     2 0 15:39:44 ?     00:00:00 [irq/119-tsens-c]
root           101     2 0 15:39:44 ?     00:00:00 [edac-poller]
root           102     2 0 15:39:44 ?     00:00:13 [system]
root           103     2 0 15:39:44 ?     00:00:00 [ipa_power_mgmt]
root           104     2 0 15:39:44 ?     00:00:00 [transport_power]
root           105     2 0 15:39:44 ?     00:00:00 [ipa_pm_activate]
root           106     2 0 15:39:44 ?     00:00:00 [devfreq_wq]
root           107     2 0 15:39:44 ?     00:00:00 [cfg80211]
root           145     2 0 15:39:44 ?     00:00:00 [kauditd]
root           146     2 1 15:39:44 ?     00:01:51 [kswapd0]
root           147     2 0 15:39:44 ?     00:00:00 [ecryptfs-kthrea]
root           200     2 0 15:39:44 ?     00:00:00 [irq/411-arm-smm]
root           201     2 0 15:39:44 ?     00:00:00 [irq/412-arm-smm]
root           202     2 0 15:39:44 ?     00:00:00 [irq/413-arm-smm]
root           203     2 0 15:39:44 ?     00:00:00 [irq/402-smp2p]
root           204     2 0 15:39:44 ?     00:00:00 [irq/403-smp2p]
root           205     2 0 15:39:44 ?     00:00:00 [irq/404-smp2p]
root           206     2 0 15:39:44 ?     00:00:00 [irq/405-smp2p]
root           207     2 0 15:39:44 ?     00:00:00 [cdsprm-wq]
root           208     2 0 15:39:44 ?     00:00:00 [cdsprm-wq-delay]
root           209     2 0 15:39:44 ?     00:00:00 [irq/415-arm-smm]
root           210     2 0 15:39:44 ?     00:00:00 [irq/416-arm-smm]
root           211     2 0 15:39:44 ?     00:00:00 [hwrng]
root           213     2 0 15:39:44 ?     00:00:00 [irq/414-arm-smm]
root           214     2 0 15:39:44 ?     00:00:00 [diag_real_time_]
root           215     2 0 15:39:44 ?     00:00:00 [diag_wq]
root           217     2 0 15:39:44 ?     00:00:00 [DIAG_USB_diag]
root           218     2 0 15:39:44 ?     00:00:00 [diag_cntl_wq]
root           219     2 0 15:39:44 ?     00:00:00 [diag_dci_wq]
root           220     2 0 15:39:44 ?     00:00:00 [MODEM_CNTL]
root           221     2 0 15:39:44 ?     00:00:00 [MODEM_DATA]
root           222     2 0 15:39:44 ?     00:00:00 [MODEM_CMD]
root           223     2 0 15:39:44 ?     00:00:00 [MODEM_DCI]
root           224     2 0 15:39:44 ?     00:00:00 [MODEM_DCI_CMD]
root           225     2 0 15:39:44 ?     00:00:00 [LPASS_CNTL]
root           226     2 0 15:39:44 ?     00:00:00 [LPASS_DATA]
root           227     2 0 15:39:44 ?     00:00:00 [LPASS_CMD]
root           228     2 0 15:39:44 ?     00:00:00 [LPASS_DCI]
root           229     2 0 15:39:44 ?     00:00:00 [LPASS_DCI_CMD]
root           230     2 0 15:39:44 ?     00:00:00 [WCNSS_CNTL]
root           231     2 0 15:39:44 ?     00:00:00 [WCNSS_DATA]
root           232     2 0 15:39:44 ?     00:00:00 [WCNSS_CMD]
root           233     2 0 15:39:44 ?     00:00:00 [WCNSS_DCI]
root           234     2 0 15:39:44 ?     00:00:00 [WCNSS_DCI_CMD]
root           235     2 0 15:39:44 ?     00:00:00 [SENSORS_CNTL]
root           236     2 0 15:39:44 ?     00:00:00 [SENSORS_DATA]
root           237     2 0 15:39:44 ?     00:00:00 [SENSORS_CMD]
root           238     2 0 15:39:44 ?     00:00:00 [SENSORS_DCI]
root           239     2 0 15:39:44 ?     00:00:00 [SENSORS_DCI_CMD]
root           240     2 0 15:39:44 ?     00:00:00 [DIAG_CTRL]
root           241     2 0 15:39:44 ?     00:00:00 [DIAG_DATA]
root           242     2 0 15:39:44 ?     00:00:00 [DIAG_CMD]
root           243     2 0 15:39:44 ?     00:00:00 [DIAG_DCI_DATA]
root           244     2 0 15:39:44 ?     00:00:00 [DIAG_DCI_CMD]
root           245     2 0 15:39:44 ?     00:00:00 [CDSP_CNTL]
root           246     2 0 15:39:44 ?     00:00:00 [CDSP_DATA]
root           247     2 0 15:39:44 ?     00:00:00 [CDSP_CMD]
root           248     2 0 15:39:44 ?     00:00:00 [CDSP_DCI]
root           249     2 0 15:39:44 ?     00:00:00 [CDSP_DCI_CMD]
root           250     2 0 15:39:44 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           251     2 0 15:39:44 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           252     2 0 15:39:44 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           253     2 0 15:39:44 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           254     2 0 15:39:44 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           255     2 0 15:39:44 ?     00:00:00 [kworker/u16:2]
root           256     2 0 15:39:44 ?     00:00:00 [diag_mhi_MDM]
root           258     2 0 15:39:44 ?     00:00:00 [DIAG_USB_diag_m]
root           259     2 0 15:39:44 ?     00:00:00 [diag_mhi_MDM_DC]
root           260     2 0 15:39:44 ?     00:00:00 [diag_dci_MDM_DC]
root           264     2 0 15:39:44 ?     00:00:00 [kworker/u16:6]
root           266     2 0 15:39:44 ?     00:00:00 [kgsl-workqueue]
root           267     2 0 15:39:44 ?     00:00:00 [kgsl-mementry]
root           268     2 0 15:39:44 ?     00:00:00 [panel]
root           269     2 1 15:39:44 ?     00:02:30 [kgsl_worker_thr]
root           270     2 0 15:39:44 ?     00:00:09 [kgsl_low_prio_w]
root           272     2 0 15:39:44 ?     00:00:00 [irq/512-arm-smm]
root           273     2 0 15:39:44 ?     00:00:00 [irq/410-arm-smm]
root           274     2 0 15:39:44 ?     00:00:00 [irq/513-arm-smm]
root           275     2 0 15:39:44 ?     00:00:00 [irq/417-arm-smm]
root           276     2 2 15:39:44 ?     00:08:23 [crtc_commit:127]
root           277     2 0 15:39:44 ?     00:00:49 [crtc_event:127]
root           278     2 0 15:39:44 ?     00:00:00 [crtc_commit:181]
root           279     2 0 15:39:44 ?     00:00:00 [crtc_event:181]
root           280     2 0 15:39:44 ?     00:00:00 [pp_event]
root           281     2 0 15:39:44 ?     00:00:00 [qseecom-unreg-l]
root           283     2 0 15:39:44 ?     00:00:00 [irq/418-arm-smm]
root           284     2 0 15:39:44 ?     00:00:00 [irq/514-arm-smm]
root           285     2 0 15:39:44 ?     00:00:00 [irq/419-arm-smm]
root           286     2 0 15:39:44 ?     00:00:00 [irq/420-arm-smm]
root           287     2 0 15:39:44 ?     00:00:00 [qcrypto_seq_res]
root           288     2 0 15:39:44 ?     00:00:00 [irq/421-arm-smm]
root           309     2 0 15:39:44 ?     00:00:00 [scsi_eh_0]
root           310     2 0 15:39:44 ?     00:00:00 [scsi_tmf_0]
root           311     2 0 15:39:44 ?     00:00:00 [ufs_pm_qos_0]
root           312     2 0 15:39:44 ?     00:00:00 [ufs_clk_gating_]
root           313     2 0 15:39:44 ?     00:00:00 [ufs_mgc_hibern8]
root           314     2 0 15:39:44 ?     00:00:00 [ice-set-key]
root           315     2 0 15:39:44 ?     00:00:00 [irq/422-arm-smm]
root           316     2 0 15:39:44 ?     00:00:00 [spi1]
root           317     2 0 15:39:44 ?     00:00:00 [spi2]
root           318     2 0 15:39:44 ?     00:00:00 [spi3]
root           319     2 0 15:39:44 ?     00:00:00 [spi4]
root           320     2 0 15:39:44 ?     00:00:00 [spi5]
root           321     2 0 15:39:44 ?     00:00:00 [irq/297-iaxxx-e]
root           322     2 0 15:39:44 ?     00:00:00 [iaxxx-core]
root           323     2 0 15:39:44 ?     00:00:00 [iaxxx-evnt-wq]
root           324     2 0 15:39:44 ?     00:00:00 [bond0]
root           331     2 0 15:39:44 ?     00:00:00 [k_ipa_usb]
root           334     2 0 15:39:44 ?     00:00:00 [kdbgd]
root           335     2 0 15:39:44 ?     00:00:00 [rot_commitq_0_0]
root           336     2 0 15:39:44 ?     00:00:00 [rot_commitq_0_1]
root           337     2 0 15:39:44 ?     00:00:00 [rot_doneq_0_0]
root           338     2 0 15:39:44 ?     00:00:00 [rot_doneq_0_1]
root           339     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_0]
root           340     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_1]
root           341     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_2]
root           342     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_3]
root           343     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_4]
root           344     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_5]
root           345     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_6]
root           346     2 0 15:39:44 ?     00:00:00 [kgsl-events]
root           347     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_7]
root           348     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_8]
root           349     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_9]
root           350     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_10]
root           351     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_11]
root           352     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_12]
root           353     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_13]
root           354     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_14]
root           355     2 0 15:39:44 ?     00:00:00 [rot_fenceq_0_15]
root           356     2 0 15:39:44 ?     00:00:00 [kgsl_devfreq_wq]
root           357     2 0 15:39:44 ?     00:00:00 [irq/423-arm-smm]
root           358     2 0 15:39:44 ?     00:00:00 [npu_wq]
root           359     2 0 15:39:44 ?     00:00:00 [msm_vidc_worker]
root           360     2 0 15:39:44 ?     00:00:00 [pm_workerq_venu]
root           361     2 0 15:39:44 ?     00:00:00 [irq/424-arm-smm]
root           362     2 0 15:39:44 ?     00:00:00 [irq/425-arm-smm]
root           363     2 0 15:39:44 ?     00:00:00 [irq/426-arm-smm]
root           364     2 0 15:39:44 ?     00:00:00 [irq/427-arm-smm]
root           365     2 0 15:39:44 ?     00:00:00 [cam-cpas]
root           366     2 0 15:39:44 ?     00:00:00 [st_pstate_work]
root           367     2 0 15:39:44 ?     00:00:00 [qcom,cam_virtua]
root           368     2 0 15:39:44 ?     00:00:00 [irq/428-arm-smm]
root           369     2 0 15:39:44 ?     00:00:00 [qcom,cam170-cpa]
root           372     2 0 15:39:44 ?     00:00:00 [kworker/u16:12]
root           374     2 0 15:39:44 ?     00:00:00 [kworker/u16:14]
root           375     2 0 15:39:44 ?     00:00:00 [irq/429-arm-smm]
root           376     2 0 15:39:44 ?     00:00:00 [cam_cci_wq]
root           377     2 0 15:39:44 ?     00:00:00 [cam_cci_wq]
root           378     2 0 15:39:44 ?     00:00:00 [cam_cci_wq]
root           379     2 0 15:39:44 ?     00:00:00 [cam_cci_wq]
root           380     2 0 15:39:44 ?     00:00:00 [cam_vsync_clien]
root           382     2 0 15:39:44 ?     00:00:00 [irq/430-arm-smm]
root           383     2 0 15:39:44 ?     00:00:00 [irq/431-arm-smm]
root           384     2 0 15:39:44 ?     00:00:00 [irq/432-arm-smm]
root           385     2 0 15:39:44 ?     00:00:00 [irq/303-cs40l25]
root           386     2 0 15:39:44 ?     00:00:00 [irq/433-arm-smm]
root           387     2 0 15:39:44 ?     00:00:00 [irq/49-max1720x]
root           388     2 0 15:39:44 ?     00:00:00 [irq/545-chgr-er]
root           389     2 0 15:39:44 ?     00:00:00 [irq/546-chg-sta]
root           390     2 0 15:39:44 ?     00:00:00 [irq/547-bat-tem]
root           391     2 0 15:39:44 ?     00:00:00 [irq/548-bat-ov]
root           392     2 0 15:39:44 ?     00:00:00 [irq/549-bat-low]
root           393     2 0 15:39:44 ?     00:00:00 [irq/550-bat-the]
root           394     2 0 15:39:44 ?     00:00:00 [irq/551-bat-ter]
root           396     2 0 15:39:44 ?     00:00:00 [irq/46-p9221-ir]
root           397     2 0 15:39:44 ?     00:00:00 [irq/319-p9221-i]
root           399     2 0 15:39:44 ?     00:00:00 [irq/520-limits_]
root           400     2 0 15:39:44 ?     00:00:00 [kworker/0:1H]
root           401     2 0 15:39:44 ?     00:00:00 [irq/521-limits_]
root           402     2 0 15:39:44 ?     00:00:00 [kworker/4:1H]
root           403     2 0 15:39:44 ?     00:00:00 [dm_bufio_cache]
root           404     2 0 15:39:44 ?     00:00:00 [irq/106-KRYO L3]
root           405     2 0 15:39:44 ?     00:00:00 [irq/211-s2mpg01]
root           406     2 0 15:39:44 ?     00:00:00 [irq/85-s2mpg01-]
root           407     2 0 15:39:44 ?     00:00:00 [irq/434-arm-smm]
root           408     2 0 15:39:44 ?     00:00:00 [uaudio_svc]
root           409     2 0 15:39:44 ?     00:00:00 [ipv6_addrconf]
root           410     2 0 16:48:43 ?     00:00:02 [kworker/4:2]
root           411     2 0 15:39:44 ?     00:00:00 [ab-sm]
root           421     2 0 15:39:44 ?     00:00:00 [flood_workq]
root           422     2 0 15:39:44 ?     00:00:00 [dot_workq]
root           423     2 0 15:39:44 ?     00:00:00 [c440000.qcom,sp]
root           424     2 0 15:39:44 ?     00:00:00 [irq/553-otg-fai]
root           425     2 0 15:39:44 ?     00:00:00 [irq/556-high-du]
root           427     2 0 15:39:44 ?     00:00:00 [irq/557-input-c]
root           428     2 0 15:39:44 ?     00:00:00 [irq/559-switche]
root           429     2 0 15:39:44 ?     00:00:00 [irq/560-usbin-c]
root           430     2 0 15:39:44 ?     00:00:00 [irq/561-usbin-v]
root           431     2 0 15:39:44 ?     00:00:00 [irq/562-usbin-u]
root           432     2 0 15:39:44 ?     00:00:00 [irq/563-usbin-o]
root           433     2 0 15:39:44 ?     00:00:00 [irq/564-usbin-p]
root           434     2 0 15:39:44 ?     00:00:00 [irq/566-usbin-s]
root           435     2 0 15:39:44 ?     00:00:00 [irq/567-usbin-i]
root           436     2 0 15:39:44 ?     00:00:00 [irq/569-dcin-uv]
root           437     2 0 15:39:44 ?     00:00:00 [irq/570-dcin-ov]
root           438     2 0 15:39:44 ?     00:00:00 [irq/571-dcin-pl]
root           439     2 0 15:39:44 ?     00:00:00 [irq/573-dcin-po]
root           440     2 0 15:39:44 ?     00:00:00 [irq/574-dcin-en]
root           441     2 0 15:39:44 ?     00:00:00 [irq/575-typec-o]
root           442     2 0 15:39:44 ?     00:00:00 [irq/577-typec-c]
root           443     2 0 15:39:44 ?     00:00:00 [irq/578-typec-v]
root           444     2 0 15:39:44 ?     00:00:00 [irq/580-typec-a]
