restarting adbd as root
Swapspace size: 8388604k, UUID=743bb9ae-d8ab-4aeb-8f0d-8f3ebe5929b5
--lowmemorykiller driver disabled--
		total        used        free      shared     buffers
Mem:             5447        2310        3137           3           0
-/+ buffers/cache:           2309        3137
Swap:            8191           0        8191
Starting: Intent { cmp=com.google.android.youtube/com.google.android.apps.youtube.app.WatchWhileActivity }
Status: ok
LaunchState: COLD
Activity: com.google.android.youtube/com.google.android.apps.youtube.app.WatchWhileActivity
TotalTime: 1015
WaitTime: 1015
Complete
end
Starting: Intent { act=android.intent.action.MAIN cat=[android.intent.category.HOME] }
UID            PID  PPID C STIME TTY          TIME CMD
root             1     0 1 23:45:08 ?     00:00:01 init second_stage
root             2     0 0 23:45:08 ?     00:00:00 [kthreadd]
root             3     2 0 23:45:08 ?     00:00:00 [rcu_gp]
root             4     2 0 23:45:08 ?     00:00:00 [kworker/0:0]
root             5     2 0 23:45:08 ?     00:00:00 [kworker/0:0H]
root             6     2 0 23:45:08 ?     00:00:00 [kworker/u16:0]
root             7     2 0 23:45:08 ?     00:00:00 [mm_percpu_wq]
root             8     2 0 23:45:08 ?     00:00:00 [ksoftirqd/0]
root             9     2 0 23:45:08 ?     00:00:00 [rcu_preempt]
root            10     2 0 23:45:08 ?     00:00:00 [rcu_sched]
root            11     2 0 23:45:08 ?     00:00:00 [rcu_bh]
root            12     2 0 23:45:08 ?     00:00:00 [rcuop/0]
root            13     2 0 23:45:08 ?     00:00:00 [rcuos/0]
root            14     2 0 23:45:08 ?     00:00:00 [rcuob/0]
root            15     2 0 23:45:08 ?     00:00:00 [migration/0]
root            16     2 0 23:45:08 ?     00:00:00 [cpuhp/0]
root            17     2 0 23:45:08 ?     00:00:00 [cpuhp/1]
root            18     2 0 23:45:08 ?     00:00:00 [migration/1]
root            19     2 0 23:45:08 ?     00:00:00 [ksoftirqd/1]
root            20     2 0 23:45:08 ?     00:00:00 [kworker/1:0]
root            21     2 0 23:45:08 ?     00:00:00 [kworker/1:0H]
root            22     2 0 23:45:08 ?     00:00:00 [rcuop/1]
root            23     2 0 23:45:08 ?     00:00:00 [rcuos/1]
root            24     2 0 23:45:08 ?     00:00:00 [rcuob/1]
root            25     2 0 23:45:08 ?     00:00:00 [cpuhp/2]
root            26     2 0 23:45:08 ?     00:00:00 [migration/2]
root            27     2 0 23:45:08 ?     00:00:00 [ksoftirqd/2]
root            28     2 0 23:45:08 ?     00:00:00 [kworker/2:0]
root            29     2 0 23:45:08 ?     00:00:00 [kworker/2:0H]
root            30     2 0 23:45:08 ?     00:00:00 [rcuop/2]
root            31     2 0 23:45:08 ?     00:00:00 [rcuos/2]
root            32     2 0 23:45:08 ?     00:00:00 [rcuob/2]
root            33     2 0 23:45:08 ?     00:00:00 [cpuhp/3]
root            34     2 0 23:45:08 ?     00:00:00 [migration/3]
root            35     2 0 23:45:08 ?     00:00:00 [ksoftirqd/3]
root            36     2 0 23:45:08 ?     00:00:00 [kworker/3:0]
root            37     2 0 23:45:08 ?     00:00:00 [kworker/3:0H]
root            38     2 0 23:45:08 ?     00:00:00 [rcuop/3]
root            39     2 0 23:45:08 ?     00:00:00 [rcuos/3]
root            40     2 0 23:45:08 ?     00:00:00 [rcuob/3]
root            41     2 0 23:45:08 ?     00:00:00 [cpuhp/4]
root            42     2 0 23:45:08 ?     00:00:00 [migration/4]
root            43     2 0 23:45:08 ?     00:00:00 [ksoftirqd/4]
root            44     2 0 23:45:08 ?     00:00:00 [kworker/4:0]
