UID            PID  PPID C STIME TTY          TIME CMD
root             1     0 0 10:33:18 ?     00:00:01 init second_stage
root             2     0 0 10:33:18 ?     00:00:00 [kthreadd]
root             3     2 0 10:33:18 ?     00:00:00 [rcu_gp]
root             5     2 0 10:33:18 ?     00:00:00 [kworker/0:0H]
root             6     2 0 10:33:18 ?     00:00:00 [kworker/u16:0]
root             7     2 0 10:33:18 ?     00:00:00 [mm_percpu_wq]
root             8     2 0 10:33:18 ?     00:00:02 [ksoftirqd/0]
root             9     2 0 10:33:18 ?     00:00:01 [rcu_preempt]
root            10     2 0 10:33:18 ?     00:00:00 [rcu_sched]
root            11     2 0 10:33:18 ?     00:00:00 [rcu_bh]
root            12     2 0 10:33:18 ?     00:00:00 [rcuop/0]
root            13     2 0 10:33:18 ?     00:00:00 [rcuos/0]
root            14     2 0 10:33:18 ?     00:00:00 [rcuob/0]
root            15     2 0 10:33:18 ?     00:00:00 [migration/0]
root            16     2 0 10:33:18 ?     00:00:00 [cpuhp/0]
root            17     2 0 10:33:18 ?     00:00:00 [cpuhp/1]
root            18     2 0 10:33:18 ?     00:00:00 [migration/1]
root            19     2 0 10:33:18 ?     00:00:01 [ksoftirqd/1]
root            21     2 0 10:33:18 ?     00:00:00 [kworker/1:0H]
root            22     2 0 10:33:18 ?     00:00:00 [rcuop/1]
root            23     2 0 10:33:18 ?     00:00:00 [rcuos/1]
root            24     2 0 10:33:18 ?     00:00:00 [rcuob/1]
root            25     2 0 10:33:18 ?     00:00:00 [cpuhp/2]
root            26     2 0 10:33:18 ?     00:00:00 [migration/2]
root            27     2 0 10:33:18 ?     00:00:01 [ksoftirqd/2]
root            29     2 0 10:33:18 ?     00:00:00 [kworker/2:0H]
root            30     2 0 10:33:18 ?     00:00:00 [rcuop/2]
root            31     2 0 10:33:18 ?     00:00:00 [rcuos/2]
root            32     2 0 10:33:18 ?     00:00:00 [rcuob/2]
root            33     2 0 10:33:18 ?     00:00:00 [cpuhp/3]
root            34     2 0 10:33:18 ?     00:00:00 [migration/3]
root            35     2 0 10:33:18 ?     00:00:00 [ksoftirqd/3]
root            37     2 0 10:33:18 ?     00:00:00 [kworker/3:0H]
root            38     2 0 10:33:18 ?     00:00:00 [rcuop/3]
root            39     2 0 10:33:18 ?     00:00:00 [rcuos/3]
root            40     2 0 10:33:18 ?     00:00:00 [rcuob/3]
root            41     2 0 10:33:18 ?     00:00:00 [cpuhp/4]
root            42     2 0 10:33:18 ?     00:00:00 [migration/4]
