UID            PID  PPID C STIME TTY          TIME CMD
root             1     0 0 07:38:19 ?     00:00:01 init second_stage
root             2     0 0 07:38:19 ?     00:00:00 [kthreadd]
root             3     2 0 07:38:19 ?     00:00:00 [rcu_gp]
root             5     2 0 07:38:19 ?     00:00:00 [kworker/0:0H]
root             7     2 0 07:38:19 ?     00:00:00 [mm_percpu_wq]
root             8     2 0 07:38:19 ?     00:00:02 [ksoftirqd/0]
root             9     2 0 07:38:19 ?     00:00:18 [rcu_preempt]
root            10     2 0 07:38:19 ?     00:00:05 [rcu_sched]
root            11     2 0 07:38:19 ?     00:00:00 [rcu_bh]
root            12     2 0 07:38:19 ?     00:00:07 [rcuop/0]
root            13     2 0 07:38:19 ?     00:00:00 [rcuos/0]
root            14     2 0 07:38:19 ?     00:00:00 [rcuob/0]
root            15     2 0 07:38:19 ?     00:00:00 [migration/0]
root            16     2 0 07:38:19 ?     00:00:00 [cpuhp/0]
root            17     2 0 07:38:19 ?     00:00:00 [cpuhp/1]
root            18     2 0 07:38:19 ?     00:00:00 [migration/1]
root            19     2 0 07:38:19 ?     00:00:01 [ksoftirqd/1]
root            21     2 0 07:38:19 ?     00:00:00 [kworker/1:0H]
root            22     2 0 07:38:19 ?     00:00:01 [rcuop/1]
root            23     2 0 07:38:19 ?     00:00:00 [rcuos/1]
root            24     2 0 07:38:19 ?     00:00:00 [rcuob/1]
root            25     2 0 07:38:19 ?     00:00:00 [cpuhp/2]
root            26     2 0 07:38:19 ?     00:00:00 [migration/2]
root            27     2 0 07:38:19 ?     00:00:03 [ksoftirqd/2]
root            29     2 0 07:38:19 ?     00:00:00 [kworker/2:0H]
root            30     2 0 07:38:19 ?     00:00:07 [rcuop/2]
root            31     2 0 07:38:19 ?     00:00:00 [rcuos/2]
root            32     2 0 07:38:19 ?     00:00:00 [rcuob/2]
root            33     2 0 07:38:19 ?     00:00:00 [cpuhp/3]
root            34     2 0 07:38:19 ?     00:00:00 [migration/3]
root            35     2 0 07:38:19 ?     00:00:02 [ksoftirqd/3]
root            37     2 0 07:38:19 ?     00:00:00 [kworker/3:0H]
root            38     2 0 07:38:19 ?     00:00:01 [rcuop/3]
root            39     2 0 07:38:19 ?     00:00:00 [rcuos/3]
root            40     2 0 07:38:19 ?     00:00:00 [rcuob/3]
root            41     2 0 07:38:19 ?     00:00:00 [cpuhp/4]
root            42     2 0 07:38:19 ?     00:00:00 [migration/4]
root            43     2 0 07:38:19 ?     00:00:00 [ksoftirqd/4]
root            45     2 0 07:38:19 ?     00:00:00 [kworker/4:0H]
root            46     2 0 07:38:19 ?     00:00:11 [rcuop/4]
root            47     2 0 07:38:19 ?     00:00:02 [rcuos/4]
root            48     2 0 07:38:19 ?     00:00:00 [rcuob/4]
root            49     2 0 07:38:19 ?     00:00:00 [cpuhp/5]
root            50     2 0 07:38:19 ?     00:00:00 [migration/5]
root            51     2 0 07:38:19 ?     00:00:00 [ksoftirqd/5]
root            53     2 0 07:38:19 ?     00:00:00 [kworker/5:0H]
root            54     2 0 07:38:19 ?     00:00:05 [rcuop/5]
root            55     2 0 07:38:19 ?     00:00:00 [rcuos/5]
root            56     2 0 07:38:19 ?     00:00:00 [rcuob/5]
root            57     2 0 07:38:19 ?     00:00:00 [cpuhp/6]
root            58     2 0 07:38:19 ?     00:00:00 [migration/6]
root            59     2 0 07:38:19 ?     00:00:00 [ksoftirqd/6]
root            61     2 0 07:38:19 ?     00:00:00 [kworker/6:0H]
root            62     2 0 07:38:19 ?     00:00:08 [rcuop/6]
root            63     2 0 07:38:19 ?     00:00:04 [rcuos/6]
root            64     2 0 07:38:19 ?     00:00:00 [rcuob/6]
root            65     2 0 07:38:19 ?     00:00:00 [cpuhp/7]
root            66     2 0 07:38:19 ?     00:00:00 [migration/7]
root            67     2 0 07:38:19 ?     00:00:00 [ksoftirqd/7]
root            69     2 0 07:38:19 ?     00:00:00 [kworker/7:0H]
root            70     2 0 07:38:19 ?     00:00:19 [rcuop/7]
root            71     2 0 07:38:19 ?     00:00:03 [rcuos/7]
root            72     2 0 07:38:19 ?     00:00:00 [rcuob/7]
root            73     2 0 07:38:19 ?     00:00:00 [netns]
root            74     2 0 07:38:19 ?     00:00:00 [ksuspend_mon]
root            76     2 1 07:38:19 ?     00:00:47 [kworker/u17:0]
root            78     2 0 07:38:19 ?     00:00:00 [ipa_usb_wq]
root            80     2 0 07:38:19 ?     00:00:00 [msm_watchdog]
root            81     2 0 07:38:19 ?     00:00:00 [spi_wdsp]
root            82     2 0 07:38:19 ?     00:00:00 [qmp_aop]
root            83     2 0 07:38:19 ?     00:00:00 [qmp_npu_qmp_low]
root            84     2 0 07:38:19 ?     00:00:00 [qmp_npu_qmp_hig]
root            86     2 0 07:38:19 ?     00:00:01 [kworker/5:1]
root            90     2 0 07:38:19 ?     00:00:00 [oom_reaper]
root            91     2 0 07:38:19 ?     00:00:00 [writeback]
root            92     2 0 07:38:19 ?     00:00:00 [kcompactd0]
root            93     2 0 07:38:19 ?     00:00:00 [crypto]
root            94     2 0 07:38:19 ?     00:00:00 [kblockd]
root            95     2 0 07:38:19 ?     00:00:00 [irq/407-arm-smm]
root            96     2 0 07:38:19 ?     00:00:00 [irq/511-arm-smm]
root            97     2 0 07:38:19 ?     00:00:00 [irq/116-tsens-u]
root            98     2 0 07:38:19 ?     00:00:00 [irq/117-tsens-c]
root            99     2 0 07:38:19 ?     00:00:00 [irq/118-tsens-u]
